accident_id,latitude,longitude,datetime,hour,day_of_week,severity,weather,road_type,visibility,traffic_level,road_condition,lighting,junction,speed_limit,vehicle_type,area_name
31,18.54410881327972,73.85738202610504,2023-07-31 15:13:21,15,0,2,Rain,Intersection,0.9450026709087831,4,Dry,Daylight,1,80,Car,Shivajinagar
32,18.532298337163397,73.84890907368072,2023-06-12 22:12:29,22,0,1,Clear,Highway,0.5194173672147115,3,Wet,Night,0,40,Truck,Shivajinagar
33,18.554690359573925,73.8659341375832,2023-03-27 14:39:19,14,0,3,Rain,City Road,0.8630456668613308,5,Wet,Daylight,0,40,Bus,Shivajinagar
34,18.526355012557808,73.83080867640909,2023-06-24 10:55:54,10,5,1,Clear,Intersection,0.5126753717077288,5,Dry,Daylight,1,40,Car,Shivajinagar
35,18.527457529088494,73.84432153093489,2023-08-17 20:21:15,20,3,2,Clear,Highway,0.7746133323530602,1,Dry,Night,1,40,Truck,Shivajinagar
36,18.52292398089641,73.86673624412146,2023-04-19 00:55:31,0,2,1,Rain,Highway,0.5238580638458243,2,Wet,Night,0,40,Bike,Shivajinagar
37,18.537790923818598,73.85349896633711,2023-11-11 08:26:19,8,5,1,Clear,City Road,0.7323369064698058,5,Wet,Daylight,0,60,Bus,Shivajinagar
38,18.54521273289066,73.83314137848821,2023-12-04 14:27:58,14,0,2,Clear,Intersection,0.9282449205941612,5,Wet,Daylight,0,80,Bus,Shivajinagar
39,18.511826230175114,73.86030540761678,2023-01-03 12:34:22,12,1,2,Rain,Intersection,0.7291264452457583,3,Dry,Daylight,0,60,Truck,Shivajinagar
40,18.53360991867735,73.84127300480179,2023-10-22 16:35:50,16,6,2,Clear,City Road,0.6594878151468806,2,Wet,Daylight,0,40,Truck,Shivajinagar
41,18.53437015485965,73.8405709040474,2023-11-09 22:46:47,22,3,1,Rain,Highway,0.9387360067635264,4,Dry,Night,1,60,Car,Shivajinagar
42,18.538272936051232,73.85360370265433,2023-03-04 00:07:57,0,5,1,Fog,Intersection,0.3531544192278566,2,Wet,Night,1,40,Bus,Shivajinagar
43,18.546328597758393,73.84310482124525,2023-09-29 03:07:50,3,4,2,Rain,Highway,0.5515619344179663,1,Wet,Night,0,80,Truck,Shivajinagar
44,18.534041663524885,73.84619856945632,2023-06-14 03:03:06,3,2,1,Fog,Highway,0.39335947203082156,5,Wet,Night,0,40,Bus,Shivajinagar
45,18.548936665758788,73.85154582895117,2023-05-13 03:21:52,3,5,2,Fog,Highway,0.42200750254375974,2,Wet,Night,0,60,Car,Shivajinagar
46,18.525745577262082,73.83393214515581,2023-04-18 21:56:55,21,1,1,Rain,Intersection,0.5733024108460127,5,Wet,Night,1,40,Car,Shivajinagar
47,18.527626312147294,73.85208441296561,2023-03-02 09:10:26,9,3,1,Fog,Intersection,0.3979721847053211,4,Dry,Daylight,0,60,Truck,Shivajinagar
48,18.53937659623202,73.84590061470037,2023-03-25 14:52:10,14,5,1,Clear,City Road,0.7463125521454296,5,Wet,Daylight,1,40,Truck,Shivajinagar
49,18.54351138225981,73.85520863101463,2023-10-24 12:16:51,12,1,1,Clear,Highway,0.981086274237271,4,Wet,Daylight,0,60,Bike,Shivajinagar
50,18.533040924818103,73.84762592400782,2023-05-11 17:17:18,17,3,1,Clear,Intersection,0.7769271422006604,4,Dry,Daylight,0,60,Truck,Shivajinagar
51,18.552331824575116,73.83982652437112,2023-02-09 16:40:07,16,3,3,Clear,City Road,0.9505790052454945,1,Wet,Daylight,1,60,Bus,Shivajinagar
52,18.52771822046725,73.84012570533523,2023-02-06 00:27:14,0,0,1,Clear,Highway,0.8234241808343619,2,Dry,Night,1,80,Bike,Shivajinagar
53,18.54807747627434,73.83257398635584,2023-05-28 13:10:44,13,6,2,Clear,City Road,0.5665925626118749,3,Dry,Daylight,1,40,Truck,Shivajinagar
54,18.532220500919173,73.85787158464944,2023-02-07 13:27:43,13,1,1,Clear,Intersection,0.7056275582926845,1,Dry,Daylight,0,40,Bike,Shivajinagar
55,18.534209221985588,73.84663586493168,2023-05-20 09:55:49,9,5,1,Rain,Intersection,0.9191643523555689,2,Dry,Daylight,0,80,Bike,Shivajinagar
56,18.534224569180076,73.86661529606509,2023-11-26 03:13:12,3,6,2,Rain,City Road,0.9565828761288214,5,Wet,Night,0,40,Car,Shivajinagar
57,18.520123795706173,73.84607620514979,2023-05-14 13:53:58,13,6,2,Fog,City Road,0.40154365861272,1,Wet,Daylight,0,80,Bike,Shivajinagar
58,18.496018307863633,73.84481736938051,2023-08-23 11:08:04,11,2,2,Rain,Highway,0.6538886198855247,1,Wet,Daylight,1,80,Car,Shivajinagar
59,18.525167413885395,73.87289257791211,2023-04-13 17:30:47,17,3,2,Clear,Intersection,0.8923341319721547,2,Wet,Daylight,1,60,Bike,Shivajinagar
60,18.546905784632234,73.86023993390589,2023-11-10 10:58:50,10,4,1,Clear,City Road,0.5455010455256651,2,Dry,Daylight,1,80,Bus,Shivajinagar
61,18.533000743288035,73.82866116510766,2023-01-17 20:59:14,20,1,3,Rain,City Road,0.8982358878369386,2,Dry,Night,1,40,Bike,Shivajinagar
62,18.515568391295282,73.85955915207242,2023-10-11 09:35:35,9,2,1,Clear,Highway,0.7898249672358693,3,Dry,Daylight,0,80,Truck,Shivajinagar
63,18.53446598246097,73.83810120213673,2023-06-28 10:09:00,10,2,3,Clear,Intersection,0.6728336416619316,3,Dry,Daylight,1,60,Car,Shivajinagar
64,18.525497423816276,73.83957127167737,2023-07-28 06:00:29,6,4,2,Clear,City Road,0.5443512668785278,1,Wet,Daylight,1,40,Bike,Shivajinagar
65,18.518615103587134,73.8358967497473,2023-02-18 11:27:50,11,5,3,Clear,Highway,0.7405726970281465,3,Dry,Daylight,1,40,Bus,Shivajinagar
66,18.52343587827742,73.8532950440155,2023-12-25 04:24:57,4,0,2,Clear,City Road,0.685236051395691,2,Wet,Night,1,40,Bike,Shivajinagar
67,18.536565569630557,73.85061250154543,2023-05-28 00:11:46,0,6,3,Clear,City Road,0.7660567426326579,5,Dry,Night,0,80,Bus,Shivajinagar
68,18.523236492547156,73.83327746290402,2023-01-31 14:28:15,14,1,2,Clear,Highway,0.6610395827915891,2,Dry,Daylight,0,40,Bus,Shivajinagar
69,18.544230988181077,73.83442342931816,2023-08-03 09:23:29,9,3,2,Clear,Highway,0.7920997423570846,2,Wet,Daylight,0,60,Car,Shivajinagar
70,18.537914542651947,73.84460622052868,2023-04-24 20:37:10,20,0,3,Rain,Highway,0.6221765777323273,3,Dry,Night,0,40,Bike,Shivajinagar
71,18.52462909591713,73.83491157958447,2023-11-19 02:36:42,2,6,1,Clear,Intersection,0.9254087589180731,1,Dry,Night,1,40,Bus,Shivajinagar
72,18.53877484204478,73.84895204060285,2023-09-02 03:20:51,3,5,2,Clear,City Road,0.9875335814725712,3,Dry,Night,0,60,Truck,Shivajinagar
73,18.526492076120775,73.85244566602142,2023-08-29 05:01:18,5,1,2,Fog,Highway,0.42773811970918707,4,Wet,Night,0,40,Bike,Shivajinagar
74,18.528665273630924,73.84888507962388,2023-12-10 21:00:30,21,6,2,Clear,Highway,0.966007171128467,5,Wet,Night,1,60,Car,Shivajinagar
75,18.540862928092142,73.84173108130477,2023-12-01 15:41:25,15,4,1,Clear,Intersection,0.8407513611119646,1,Wet,Daylight,1,80,Truck,Shivajinagar
76,18.536570721271804,73.84546954613957,2023-05-21 10:40:57,10,6,2,Rain,Highway,0.9825134553332563,5,Wet,Daylight,1,80,Truck,Shivajinagar
77,18.53263511823088,73.85103157623222,2023-08-13 05:18:43,5,6,2,Clear,City Road,0.8907572408757074,3,Wet,Night,1,80,Car,Shivajinagar
78,18.525062461996917,73.84069255725429,2023-03-16 16:15:34,16,3,3,Rain,Highway,0.953933065231258,1,Wet,Daylight,1,80,Bus,Shivajinagar
79,18.52403586979516,73.82519670092374,2023-10-01 15:05:07,15,6,1,Clear,Highway,0.8738046900881256,1,Dry,Daylight,0,60,Bike,Shivajinagar
80,18.50790938743067,73.86182481917452,2023-01-28 00:18:03,0,5,1,Clear,Intersection,0.8652745684046508,2,Dry,Night,0,40,Bus,Shivajinagar
81,18.53559580924433,73.86333030793956,2023-01-18 19:06:51,19,2,1,Fog,Intersection,0.43810078000970565,5,Dry,Daylight,1,60,Bike,Shivajinagar
82,18.535589798257462,73.85083662105286,2023-09-14 19:25:15,19,3,1,Clear,Intersection,0.9106286523360064,4,Dry,Daylight,1,40,Car,Shivajinagar
83,18.538369886166453,73.83827834675822,2023-03-30 12:09:57,12,3,2,Rain,City Road,0.8205738164426486,3,Dry,Daylight,0,40,Bus,Shivajinagar
84,18.513012797510957,73.86246044311488,2023-10-28 05:31:09,5,5,3,Clear,City Road,0.9736416698059076,4,Wet,Night,0,40,Truck,Shivajinagar
85,18.53723353931054,73.86314704584933,2023-04-23 09:17:28,9,6,3,Clear,Intersection,0.9593752611303732,5,Wet,Daylight,0,80,Bike,Shivajinagar
86,18.524525811156224,73.84254610757068,2023-01-31 23:42:54,23,1,3,Clear,Intersection,0.918745394501246,1,Dry,Night,1,80,Car,Shivajinagar
87,18.54477164427549,73.84059600715698,2023-11-29 04:08:20,4,2,1,Clear,Intersection,0.8938949443572461,2,Wet,Night,0,60,Truck,Shivajinagar
88,18.530145226462423,73.85557417361082,2023-04-01 09:46:05,9,5,1,Clear,Intersection,0.9592273624696506,3,Dry,Daylight,1,40,Truck,Shivajinagar
89,18.54118826145112,73.84051783971684,2023-12-03 12:12:47,12,6,2,Clear,Intersection,0.6100486070405485,2,Dry,Daylight,1,40,Car,Shivajinagar
90,18.541873238962435,73.84925956657221,2023-02-09 05:24:05,5,3,1,Clear,City Road,0.592231435709428,1,Dry,Night,0,80,Bus,Shivajinagar
91,18.52965155980517,73.84905036623596,2023-05-28 15:01:59,15,6,1,Clear,City Road,0.5182748339240475,3,Dry,Daylight,0,60,Bike,Shivajinagar
92,18.515453215180173,73.87546032708335,2023-04-18 22:54:06,22,1,1,Clear,Highway,0.8826781405331203,4,Dry,Night,0,80,Bus,Shivajinagar
93,18.535937954135804,73.84455633338982,2023-06-26 02:05:25,2,0,2,Clear,Intersection,0.9003748857430605,4,Dry,Night,1,40,Car,Shivajinagar
94,18.523755298965405,73.84021684850052,2023-09-04 21:00:30,21,0,2,Rain,Intersection,0.509855268877182,1,Dry,Night,0,80,Bus,Shivajinagar
95,18.52839674601842,73.8437517919245,2023-11-20 22:28:21,22,0,3,Rain,Highway,0.9278482340531429,3,Wet,Night,0,60,Truck,Shivajinagar
96,18.524765637450972,73.84492877728752,2023-05-22 16:28:56,16,0,1,Rain,Highway,0.8679523065980012,5,Dry,Daylight,1,40,Bus,Shivajinagar
97,18.536073837156923,73.85011937611107,2023-03-05 04:02:45,4,6,1,Rain,Intersection,0.6679329285749176,2,Wet,Night,1,40,Car,Shivajinagar
98,18.543266947365296,73.82580122312959,2023-05-24 18:20:12,18,2,3,Clear,Highway,0.6472328797709588,4,Wet,Daylight,1,80,Bike,Shivajinagar
99,18.51745711984444,73.84628553360515,2023-05-18 23:21:46,23,3,2,Clear,Highway,0.7562288279409608,1,Dry,Night,0,40,Bike,Shivajinagar
100,18.520792828420564,73.86603965377311,2023-03-23 08:44:49,8,3,1,Clear,Intersection,0.9502861506181928,2,Wet,Daylight,1,40,Bike,Shivajinagar
101,18.514504070140237,73.85301863655309,2023-09-18 06:29:07,6,0,2,Clear,Highway,0.8257101941759322,2,Wet,Daylight,1,40,Truck,Shivajinagar
102,18.547005334451658,73.86320494635261,2023-04-14 16:24:49,16,4,2,Rain,Highway,0.5876856393117248,5,Wet,Daylight,1,60,Bike,Shivajinagar
103,18.52731986913703,73.84948558362896,2023-09-30 13:26:21,13,5,2,Rain,Intersection,0.6226745548406605,5,Wet,Daylight,1,40,Truck,Shivajinagar
104,18.536539669592017,73.82996426282091,2023-12-30 18:15:12,18,5,1,Clear,City Road,0.8318355826813241,5,Wet,Daylight,0,80,Truck,Shivajinagar
105,18.533159997566774,73.84982676357913,2023-09-23 11:07:33,11,5,2,Fog,Highway,0.2886680352208091,1,Dry,Daylight,0,40,Car,Shivajinagar
106,18.550550273536306,73.8470273534737,2023-09-09 16:07:39,16,5,1,Clear,Intersection,0.6232010166195534,3,Wet,Daylight,1,60,Bus,Shivajinagar
107,18.52352862824175,73.84502481364449,2023-01-28 17:31:10,17,5,2,Fog,Highway,0.28420465772974035,2,Dry,Daylight,1,60,Bus,Shivajinagar
108,18.534601978510057,73.85360585745283,2023-08-25 13:30:44,13,4,3,Rain,Intersection,0.8293916833553587,1,Dry,Daylight,1,40,Car,Shivajinagar
109,18.527696543840438,73.84865684821995,2023-09-04 14:25:35,14,0,2,Clear,City Road,0.9996767497829174,2,Dry,Daylight,1,80,Car,Shivajinagar
110,18.52260735606445,73.85365708749164,2023-03-08 11:07:40,11,2,1,Clear,City Road,0.7108813298652563,5,Wet,Daylight,0,80,Bike,Shivajinagar
111,18.552710660055595,73.85090067630524,2023-07-27 10:32:40,10,3,1,Rain,City Road,0.682348624728653,4,Dry,Daylight,0,80,Bus,Shivajinagar
112,18.50999982439153,73.8346585911591,2023-10-11 03:57:15,3,2,2,Clear,Highway,0.9019884897004489,4,Dry,Night,1,40,Bus,Shivajinagar
113,18.540901369992255,73.84553738800723,2023-04-06 01:48:11,1,3,1,Clear,Intersection,0.7309714252877938,2,Dry,Night,0,60,Bus,Shivajinagar
114,18.556777046432344,73.8409962905593,2023-03-05 11:01:17,11,6,1,Clear,Highway,0.6991436919878178,1,Dry,Daylight,1,40,Truck,Shivajinagar
115,18.512186510963232,73.8445026142339,2023-06-29 12:34:38,12,3,1,Rain,Highway,0.857776657617121,5,Dry,Daylight,1,80,Car,Shivajinagar
116,18.528349303816835,73.83866842754904,2023-05-28 08:46:51,8,6,2,Clear,Intersection,0.9782078487797126,5,Wet,Daylight,1,80,Bus,Shivajinagar
117,18.53323495738808,73.85678097776616,2023-04-15 20:05:45,20,5,1,Fog,Highway,0.49729622745333973,4,Dry,Night,1,40,Truck,Shivajinagar
118,18.515100396623424,73.84823962964073,2023-12-26 09:16:15,9,1,3,Clear,City Road,0.6102431045350877,1,Dry,Daylight,0,60,Truck,Shivajinagar
119,18.531765452635387,73.83250163088677,2023-09-06 13:13:48,13,2,1,Clear,City Road,0.7625157504301341,3,Wet,Daylight,1,40,Bus,Shivajinagar
120,18.529928911566376,73.85695409899976,2023-09-25 06:08:03,6,0,2,Rain,City Road,0.8739358020461143,1,Dry,Daylight,1,80,Car,Shivajinagar
121,18.515861703587856,73.84033943879265,2023-08-05 07:08:52,7,5,3,Clear,Highway,0.5221883317666184,2,Dry,Daylight,1,40,Car,Shivajinagar
122,18.52173964205498,73.85724850284696,2023-03-27 06:57:42,6,0,2,Clear,City Road,0.5025410699090129,3,Wet,Daylight,1,40,Bus,Shivajinagar
123,18.531232716947443,73.85780473420435,2023-09-23 21:04:02,21,5,2,Fog,Highway,0.3928297354798935,2,Dry,Night,0,60,Bus,Shivajinagar
124,18.536706548306924,73.85858703580583,2023-05-06 22:32:02,22,5,1,Rain,Highway,0.9336471004799012,1,Dry,Night,0,60,Bus,Shivajinagar
125,18.544621589910374,73.85398709887589,2023-11-24 07:56:57,7,4,1,Clear,Intersection,0.9404353795994642,2,Dry,Daylight,1,60,Bus,Shivajinagar
126,18.54286508966508,73.83933064329013,2023-10-26 09:12:05,9,3,2,Clear,Intersection,0.9089835120595311,5,Wet,Daylight,1,40,Bike,Shivajinagar
127,18.537325346937592,73.82857454014696,2023-10-29 08:50:36,8,6,2,Clear,City Road,0.6883476809933994,5,Dry,Daylight,1,80,Bike,Shivajinagar
128,18.54266387412215,73.84513647166075,2023-01-22 17:22:46,17,6,1,Clear,City Road,0.5897486617119168,5,Wet,Daylight,0,40,Bus,Shivajinagar
129,18.532129696741467,73.8404987918506,2023-03-30 22:52:57,22,3,3,Clear,City Road,0.8104577588837385,3,Wet,Night,0,40,Bus,Shivajinagar
130,18.525210781527285,73.85127211875064,2023-11-16 03:45:19,3,3,2,Rain,Intersection,0.5122934582294008,3,Dry,Night,1,80,Truck,Shivajinagar
131,18.52524800473307,73.8663115706944,2023-01-13 11:11:45,11,4,1,Clear,Highway,0.9985622500788556,1,Dry,Daylight,0,80,Car,Shivajinagar
132,18.520587671828693,73.85458356447299,2023-11-09 15:34:14,15,3,1,Clear,Highway,0.8402496510373565,3,Wet,Daylight,1,40,Car,Shivajinagar
133,18.512332275655286,73.8418333058749,2023-05-03 12:14:07,12,2,1,Clear,Highway,0.8622113363070585,2,Dry,Daylight,1,60,Truck,Shivajinagar
134,18.555955462078742,73.83093586294524,2023-06-05 19:07:36,19,0,2,Clear,Intersection,0.6018506246381371,5,Dry,Daylight,1,60,Bus,Shivajinagar
135,18.535938351930653,73.84493189691581,2023-04-14 23:31:33,23,4,1,Fog,Intersection,0.2963647186691636,1,Dry,Night,1,40,Bike,Shivajinagar
136,18.525061105176647,73.84285608923386,2023-01-26 16:55:21,16,3,2,Rain,Intersection,0.6629627319760374,2,Wet,Daylight,0,40,Bus,Shivajinagar
137,18.550428226340454,73.8436493973814,2023-03-23 22:30:09,22,3,2,Clear,Highway,0.9873499259353449,3,Wet,Night,1,40,Bus,Shivajinagar
138,18.540198481035297,73.85596013544671,2023-12-21 15:02:43,15,3,2,Clear,City Road,0.5513962022463328,4,Wet,Daylight,1,60,Bus,Shivajinagar
139,18.531425027332492,73.83969525993675,2023-08-09 06:30:04,6,2,1,Rain,City Road,0.5412542672202106,5,Dry,Daylight,1,60,Truck,Shivajinagar
140,18.53712116101268,73.83771233352138,2023-12-07 08:20:17,8,3,1,Rain,Intersection,0.5205917476396358,4,Dry,Daylight,0,80,Bike,Shivajinagar
141,18.547816962085335,73.86133145000872,2023-10-06 19:26:45,19,4,3,Rain,City Road,0.6494179431686569,4,Wet,Daylight,1,60,Truck,Shivajinagar
142,18.531945333662154,73.85700145470999,2023-05-03 05:00:37,5,2,1,Rain,City Road,0.72615914225915,3,Wet,Night,0,60,Bike,Shivajinagar
143,18.548122152524854,73.85825082821036,2023-03-24 13:49:22,13,4,3,Clear,Highway,0.8078710109711214,3,Wet,Daylight,0,80,Car,Shivajinagar
144,18.530556454077388,73.86892270358612,2023-09-12 13:07:52,13,1,3,Clear,Highway,0.859600889136132,5,Dry,Daylight,0,60,Truck,Shivajinagar
145,18.52577744283806,73.8496159497038,2023-07-13 21:10:21,21,3,1,Clear,Highway,0.6288414442556068,4,Dry,Night,1,40,Bus,Shivajinagar
146,18.51215668471691,73.83848399253964,2023-06-03 15:33:23,15,5,3,Clear,Highway,0.9938247818680289,2,Wet,Daylight,1,40,Bike,Shivajinagar
147,18.541586808334312,73.84711491530499,2023-12-10 13:50:40,13,6,3,Fog,City Road,0.35543023171836385,2,Wet,Daylight,0,80,Car,Shivajinagar
148,18.543263268857974,73.84623188502097,2023-12-22 04:12:04,4,4,3,Clear,Intersection,0.8880001035177147,4,Wet,Night,1,60,Bike,Shivajinagar
149,18.50470158207017,73.85128568868095,2023-09-07 15:48:49,15,3,1,Clear,City Road,0.7185826944084133,4,Wet,Daylight,0,40,Bus,Shivajinagar
150,18.519244319518943,73.85069223342195,2023-06-28 04:48:33,4,2,3,Clear,Highway,0.9847061611676438,2,Dry,Night,0,40,Truck,Shivajinagar
151,18.5152410134951,73.844776040295,2023-02-25 11:39:35,11,5,1,Clear,City Road,0.5848789525437703,2,Dry,Daylight,0,40,Bus,Shivajinagar
152,18.536677629852836,73.84865151799025,2023-04-13 20:51:43,20,3,1,Clear,Highway,0.6796253739581228,4,Dry,Night,0,40,Car,Shivajinagar
153,18.534619354522317,73.8518004164719,2023-02-24 05:26:56,5,4,2,Clear,City Road,0.9341356402566293,4,Wet,Night,1,40,Truck,Shivajinagar
154,18.51842658354553,73.85379248971893,2023-04-06 18:44:05,18,3,2,Clear,City Road,0.5442777921116206,1,Wet,Daylight,1,40,Bike,Shivajinagar
155,18.53219342593621,73.8520253489182,2023-10-17 07:48:02,7,1,1,Rain,City Road,0.7273699278169296,3,Wet,Daylight,0,60,Car,Shivajinagar
156,18.523473158087423,73.85255427146625,2023-08-07 00:19:48,0,0,1,Clear,Highway,0.8654147374354382,5,Dry,Night,1,80,Bike,Shivajinagar
157,18.529771558368637,73.84723205653364,2023-07-29 07:37:56,7,5,1,Clear,Highway,0.9154385956708527,1,Wet,Daylight,1,40,Car,Shivajinagar
158,18.537187302220293,73.8360699508727,2023-04-13 00:55:45,0,3,1,Clear,City Road,0.825616488520746,2,Wet,Night,1,60,Truck,Shivajinagar
159,18.53015861653407,73.85078762410303,2023-10-18 02:40:24,2,2,1,Rain,Intersection,0.8911927420291368,5,Wet,Night,1,40,Bike,Shivajinagar
160,18.542694704889247,73.83522392184862,2023-08-16 00:44:10,0,2,1,Rain,Highway,0.8811425673883079,1,Dry,Night,0,60,Bike,Shivajinagar
161,18.517394713966173,73.85914434645993,2023-06-16 09:17:33,9,4,1,Rain,Highway,0.8049159027493473,5,Dry,Daylight,0,40,Bus,Shivajinagar
162,18.517868546763538,73.84149026036997,2023-12-15 16:18:56,16,4,2,Clear,Highway,0.801724296690689,2,Dry,Daylight,0,60,Bus,Shivajinagar
163,18.505805942851264,73.87040942572591,2023-08-15 14:55:15,14,1,1,Clear,Highway,0.6706239138130782,4,Dry,Daylight,1,80,Truck,Shivajinagar
164,18.53759973075517,73.85325468667494,2023-06-05 02:40:57,2,0,2,Rain,Intersection,0.9777618479774673,5,Dry,Night,1,80,Car,Shivajinagar
165,18.52827314311999,73.851420845297,2023-05-21 14:03:05,14,6,1,Fog,Intersection,0.2650668475723902,5,Wet,Daylight,1,40,Bus,Shivajinagar
166,18.522094273837382,73.83765727624707,2023-03-27 04:13:03,4,0,2,Clear,City Road,0.9015129489163317,3,Wet,Night,1,60,Bike,Shivajinagar
167,18.52476676434778,73.83163188284405,2023-02-23 17:20:43,17,3,1,Clear,Highway,0.5905746747673402,4,Dry,Daylight,0,80,Bus,Shivajinagar
168,18.525132048269537,73.8527832543421,2023-07-17 21:07:45,21,0,1,Fog,Highway,0.3561318562990905,1,Wet,Night,0,80,Car,Shivajinagar
169,18.542861533956707,73.85133971552547,2023-07-11 15:54:03,15,1,2,Rain,City Road,0.6140398859744662,1,Dry,Daylight,0,60,Bus,Shivajinagar
170,18.533967420588045,73.86259662458396,2023-02-05 07:20:13,7,6,3,Clear,Intersection,0.6510302509173975,3,Wet,Daylight,0,60,Truck,Shivajinagar
171,18.522446529467402,73.86895149127773,2023-10-21 12:24:01,12,5,3,Clear,Highway,0.5840071038724317,3,Dry,Daylight,0,40,Bike,Shivajinagar
172,18.53123811471979,73.84602997998371,2023-01-19 07:09:23,7,3,1,Rain,Highway,0.773348706357035,2,Dry,Daylight,0,60,Car,Shivajinagar
