longitude,latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Time,Road_Type,Speed_limit,Junction_Detail,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Date
73.89057036,18.50777112,3,1,1,6,08:35,6,30,6,1,1,2,1,30-09-2018
73.88917298,18.53447377,3,2,1,4,07:45,6,30,3,1,1,2,1,28-09-2018
73.83256825,18.60753615,3,2,1,4,16:20,6,30,3,1,2,2,1,28-09-2018
73.93247458,18.57306943,3,1,1,5,18:15,6,30,0,1,1,1,1,29-09-2018
73.80800666,18.50265446,3,3,1,7,13:30,6,30,6,1,1,2,1,01-10-2018
73.82481661,18.49593871,3,2,1,3,06:30,6,30,1,1,1,1,1,04-10-2018
73.93719147,18.4959681,3,2,1,4,23:00,6,30,3,4,1,1,1,05-10-2018
73.9618611,18.57274394,3,2,1,4,21:30,6,30,9,4,1,1,1,05-10-2018
73.75498735,18.55140062,3,2,1,4,07:15,6,30,6,1,1,1,1,05-10-2018
73.7731802,18.59983922,3,1,1,4,15:30,6,30,3,1,1,1,1,05-10-2018
73.85248515,18.61068269,3,1,1,3,11:10,1,40,1,1,1,1,2,13-09-2018
73.86778603,18.64169289,3,2,1,1,14:50,6,30,3,1,1,1,1,02-10-2018
73.9170971,18.55673451,3,2,2,6,22:25,6,30,3,4,1,2,1,30-09-2018
73.94262788,18.61925455,3,2,3,7,14:15,6,60,0,1,4,2,2,01-10-2018
73.88676108,18.53416455,3,1,1,1,12:47,6,30,9,1,1,1,1,25-09-2018
73.82300517,18.55920132,3,2,2,4,21:15,6,30,6,4,1,1,1,05-10-2018
73.77759055,18.55565711,3,3,2,5,13:50,3,60,1,1,1,1,2,06-10-2018
73.94809651,18.63131766,3,1,1,3,17:30,6,30,0,1,1,1,1,04-10-2018
73.92715221,18.52970282,3,2,1,3,18:00,6,30,6,1,1,1,1,04-10-2018
73.77445464,18.63160824,3,2,1,4,17:10,6,30,6,1,1,1,1,05-10-2018
73.96216006,18.64276087,3,1,1,4,15:45,6,30,0,1,1,1,1,05-10-2018
73.87661398,18.60220081,3,1,1,4,08:55,6,30,0,1,1,1,1,05-10-2018
73.80607957,18.62493263,3,1,1,5,08:50,6,30,3,1,1,1,1,06-10-2018
73.86959405,18.61823311,3,1,1,5,11:00,6,30,9,1,1,1,1,06-10-2018
73.75901583,18.525556,3,1,1,2,09:15,6,30,9,1,1,1,1,10-10-2018
73.84245911,18.64447161,3,3,1,3,13:25,6,30,9,1,1,1,1,04-10-2018
73.77142525,18.62463725,3,2,1,3,11:45,6,30,0,1,1,1,2,04-10-2018
73.95537038,18.61446197,2,1,1,6,14:25,6,30,3,1,1,1,1,07-10-2018
73.80049426,18.63274891,3,1,1,6,20:45,6,30,3,4,1,1,1,07-10-2018
73.8879578,18.5900509,3,2,4,7,14:05,6,40,3,1,2,2,2,08-10-2018
73.95625117,18.5606106,3,3,2,7,13:30,6,30,3,1,2,2,1,08-10-2018
73.73893399,18.61692737,3,1,1,3,17:02,6,30,9,1,1,1,1,11-10-2018
73.90456846,18.48994839,2,3,2,6,16:50,6,30,0,1,1,1,1,07-10-2018
73.90611663,18.51229388,3,2,1,7,13:28,3,30,5,1,1,2,1,08-10-2018
73.80646367,18.51839116,3,4,1,1,20:55,6,30,0,4,1,1,1,09-10-2018
73.85961811,18.61233303,3,2,1,6,20:30,6,30,0,4,1,1,1,07-10-2018
73.87045704,18.58844466,3,2,1,3,11:20,6,30,3,1,2,2,1,11-10-2018
73.80748079,18.58469786,3,1,1,3,08:30,6,30,0,1,1,1,1,11-10-2018
73.88559498,18.54929636,3,1,1,5,23:20,9,30,9,4,1,1,1,13-10-2018
73.96155334,18.53805501,3,1,1,6,10:20,6,30,9,1,1,1,1,14-10-2018
73.82314346,18.56841618,3,2,1,4,18:50,9,30,6,4,2,2,1,12-10-2018
73.73766412,18.60757831,3,2,1,4,18:38,6,30,7,4,2,2,1,12-10-2018
73.7924222,18.63092136,3,2,2,6,22:20,6,40,9,4,1,1,2,14-10-2018
73.86297074,18.50432407,3,3,2,2,10:50,6,30,9,1,1,1,1,17-10-2018
73.82871646,18.5971358,1,1,1,2,17:05,6,60,9,1,1,1,2,10-10-2018
73.77743854,18.51515143,2,1,1,2,16:10,6,30,3,1,1,1,1,10-10-2018
73.88182745,18.60759585,3,2,2,4,08:25,6,30,3,1,1,2,1,12-10-2018
73.8180423,18.54132015,3,2,1,5,15:15,6,30,3,1,1,1,1,13-10-2018
73.74870174,18.6360285,3,2,1,5,18:45,6,30,0,4,1,1,1,13-10-2018
73.93957038,18.50877112,2,5,3,7,14:05,6,30,3,1,1,1,1,15-10-2018
73.75244475,18.5159237,3,2,1,7,14:00,6,30,3,1,1,1,1,15-10-2018
73.78146373,18.63166885,3,2,1,1,15:05,6,30,6,1,1,1,2,16-10-2018
73.75694295,18.62551836,3,3,4,7,19:50,6,30,0,4,1,1,1,15-10-2018
73.7339048,18.53751439,3,3,1,1,16:17,6,30,6,1,1,1,1,16-10-2018
73.81172854,18.53000916,3,2,2,1,07:15,6,30,3,4,1,2,1,16-10-2018
73.9086867,18.50877651,3,3,2,7,12:15,6,30,3,1,1,1,1,15-10-2018
73.81784101,18.54927475,3,2,1,2,09:35,3,30,3,1,1,1,1,17-10-2018
73.81616695,18.53129684,3,2,2,5,16:00,6,30,9,1,1,1,1,20-10-2018
73.92753965,18.59145267,3,2,1,6,09:30,6,30,9,1,1,1,1,14-10-2018
73.76819196,18.52761549,2,6,2,6,11:20,6,30,3,1,1,1,1,14-10-2018
73.74850882,18.53306606,3,3,2,2,16:35,6,30,0,1,1,1,1,17-10-2018
73.77098521,18.57383873,2,2,1,2,16:30,6,30,3,1,1,1,1,17-10-2018
73.96250508,18.51751467,3,2,1,7,13:30,2,30,3,1,1,1,1,15-10-2018
73.75747673,18.60843698,3,2,1,6,18:20,3,30,6,4,2,2,2,21-10-2018
73.81616339,18.54473279,2,1,1,1,17:15,6,30,3,1,1,1,1,16-10-2018
73.89792284,18.5390975,3,2,1,3,07:20,6,30,3,1,1,1,1,18-10-2018
73.92744134,18.63544882,3,2,1,7,20:40,6,40,3,4,1,2,1,22-10-2018
73.76268672,18.53110355,3,2,1,5,15:25,1,30,1,1,1,1,2,13-10-2018
73.95912851,18.61222505,1,1,1,4,21:00,3,40,0,4,2,2,1,19-10-2018
73.86791906,18.53735027,3,2,1,5,11:20,6,30,3,1,1,1,1,20-10-2018
73.91375508,18.5395128,3,2,2,6,15:15,6,30,3,1,2,2,1,21-10-2018
73.84263191,18.56543599,3,2,1,5,18:06,6,30,3,1,1,1,1,20-10-2018
73.88682056,18.54120655,3,2,1,6,07:35,6,30,3,4,2,2,1,21-10-2018
73.78227012,18.59455637,3,2,1,7,23:35,6,30,0,4,1,2,1,22-10-2018
73.78062893,18.63928496,3,3,2,6,15:15,3,30,0,1,2,2,2,21-10-2018
73.94809816,18.50931562,3,2,1,7,14:55,1,30,1,1,1,1,2,22-10-2018
73.91315987,18.58052036,3,2,1,1,20:15,6,30,3,4,1,1,1,23-10-2018
73.84344972,18.60808467,3,1,1,5,15:45,6,30,9,1,8,2,1,20-10-2018
73.8953564,18.61827279,3,2,1,2,14:40,6,30,3,1,1,1,1,17-10-2018
73.79588066,18.60403375,3,3,2,2,09:40,1,30,1,1,2,2,1,24-10-2018
73.73716162,18.52757815,3,2,1,5,14:50,6,30,6,1,1,1,1,27-10-2018
73.77806036,18.5949825,3,1,1,2,18:55,3,30,0,4,9,1,1,17-10-2018
73.75857059,18.48980521,3,1,1,6,21:05,6,30,3,4,1,1,1,28-10-2018
73.86778308,18.5980366,3,2,2,1,14:30,3,30,3,1,1,1,1,30-10-2018
73.82101892,18.56143802,3,2,1,1,20:00,6,30,3,4,1,1,1,30-10-2018
73.92707831,18.60976884,3,2,1,2,21:45,6,30,0,4,2,2,1,24-10-2018
73.89376147,18.63888009,3,3,1,5,11:15,6,30,0,1,1,1,1,27-10-2018
73.92998372,18.55447676,3,3,2,1,12:50,6,30,0,1,1,1,1,30-10-2018
73.89699381,18.54540538,3,2,1,7,11:45,6,30,6,1,1,1,1,29-10-2018
73.82909012,18.64610227,3,1,1,7,11:20,2,30,8,1,1,1,1,29-10-2018
73.89037828,18.59573539,1,1,2,7,01:25,6,30,0,4,1,1,1,29-10-2018
73.86872914,18.64145511,3,2,2,7,20:20,6,40,6,4,1,1,1,29-10-2018
73.82790326,18.56517745,3,2,1,7,14:40,6,30,3,1,1,1,1,29-10-2018
73.79608746,18.57749136,3,2,2,7,02:30,6,30,0,4,1,1,1,29-10-2018
73.75954059,18.50314429,3,2,1,2,07:40,6,30,1,1,1,1,2,31-10-2018
73.76739101,18.6135364,3,2,1,3,19:55,6,30,3,4,1,1,1,01-11-2018
73.82255424,18.64666923,3,2,1,3,12:10,6,30,3,1,1,1,1,01-11-2018
73.91685651,18.57666664,3,2,1,4,10:10,6,30,0,1,2,2,1,02-11-2018
73.88111029,18.53681076,3,2,2,4,16:55,6,30,6,6,2,2,1,02-11-2018
73.82194097,18.62304699,3,2,1,6,19:42,6,30,9,4,2,2,1,04-11-2018
73.92191122,18.61497842,3,2,3,3,16:50,2,30,6,4,1,1,1,01-11-2018
73.79822759,18.55159772,3,2,1,4,17:30,1,30,1,4,1,2,2,02-11-2018
73.94838485,18.619579,3,2,1,6,16:25,6,30,0,1,1,2,1,04-11-2018
73.82390488,18.52429756,3,1,1,6,15:15,6,30,3,1,1,2,1,04-11-2018
73.86271554,18.61481983,3,1,1,7,10:55,6,30,0,1,1,2,1,05-11-2018
73.85663435,18.64711403,3,2,2,2,21:12,3,30,3,4,1,2,1,31-10-2018
73.91175456,18.58340854,3,2,1,3,18:55,6,30,0,4,1,2,1,01-11-2018
73.74496133,18.56667337,3,2,3,4,20:30,6,30,0,4,1,2,1,02-11-2018
73.86683298,18.59154675,2,2,4,4,21:10,6,30,0,4,1,2,2,02-11-2018
73.77973312,18.50522694,3,2,1,6,13:20,6,30,3,1,2,2,1,04-11-2018
73.77869259,18.63182494,3,2,1,7,19:30,3,30,6,4,2,2,1,05-11-2018
73.95391082,18.63933507,3,2,1,7,18:10,6,30,3,4,5,2,1,05-11-2018
73.78577893,18.5225201,3,2,1,2,14:25,6,30,3,1,1,1,1,07-11-2018
73.94388484,18.63920407,3,2,1,2,13:00,3,40,7,1,2,2,1,07-11-2018
73.82017847,18.5184368,3,2,1,3,22:00,6,30,6,4,2,2,1,08-11-2018
73.92234459,18.62395937,3,1,1,2,22:45,2,20,3,1,2,2,1,07-11-2018
73.8912167,18.63401893,3,2,1,3,10:00,6,30,0,1,1,1,1,08-11-2018
73.95295076,18.55500672,3,1,2,3,17:30,6,30,3,4,2,2,1,08-11-2018
73.92142591,18.59752743,3,1,1,4,08:00,9,30,3,1,1,1,1,09-11-2018
73.74465096,18.54323133,3,1,1,5,11:35,6,30,9,1,2,2,1,10-11-2018
73.83339683,18.51539784,3,2,1,3,12:15,6,30,9,1,1,2,2,25-10-2018
73.78554131,18.60893925,3,1,2,7,00:30,6,30,3,4,2,2,1,05-11-2018
73.77704678,18.59385047,3,2,2,3,19:00,6,30,3,4,2,2,1,08-11-2018
73.82172764,18.58629243,3,2,1,4,17:05,3,30,7,4,1,1,1,09-11-2018
73.88661098,18.55097516,3,2,4,4,19:30,6,30,9,4,1,1,1,09-11-2018
73.94572631,18.60527149,3,1,1,5,13:35,6,30,0,1,1,1,1,10-11-2018
73.90777776,18.57929762,3,2,1,6,17:10,6,30,0,4,1,2,1,11-11-2018
73.89196372,18.56328281,3,2,1,7,15:25,6,30,6,1,8,1,1,12-11-2018
73.89643046,18.50100623,3,2,1,5,18:00,6,30,3,7,1,1,1,10-11-2018
73.80622219,18.49013068,3,1,2,7,11:55,6,30,0,1,5,2,2,12-11-2018
73.73734564,18.63937196,3,2,1,7,11:00,6,30,0,1,1,1,1,12-11-2018
73.85534595,18.62908761,3,1,1,2,09:09,6,30,9,1,1,1,1,14-11-2018
73.82408774,18.59792949,3,1,1,2,06:30,6,30,9,4,1,2,1,14-11-2018
73.78824933,18.55963532,3,2,4,7,08:00,3,30,6,1,1,1,1,12-11-2018
73.94586022,18.58996463,3,2,1,1,13:30,6,40,3,1,1,1,1,13-11-2018
73.78569701,18.56636905,3,1,1,5,16:50,6,30,3,4,1,2,1,10-11-2018
73.88936653,18.57979393,3,2,1,7,13:50,6,30,6,1,1,2,1,12-11-2018
73.85841391,18.55340292,3,1,1,7,16:15,3,30,7,1,1,2,1,12-11-2018
73.8384835,18.62232544,2,5,4,1,18:15,6,30,3,4,1,1,1,13-11-2018
73.90164057,18.52652884,3,2,1,1,16:05,6,30,3,1,1,2,1,13-11-2018
73.86517805,18.63393102,3,2,2,4,21:15,6,30,3,4,1,1,1,16-11-2018
73.81139178,18.53089194,3,1,1,2,17:00,6,30,9,1,1,1,1,07-11-2018
73.9222767,18.60261873,2,1,1,3,19:00,6,30,3,4,2,2,1,08-11-2018
73.81289338,18.50341728,3,1,1,6,08:43,6,30,6,1,2,2,1,11-11-2018
73.82454554,18.58973806,3,1,1,6,23:40,6,30,3,4,1,1,1,11-11-2018
73.7526734,18.56040777,3,2,1,6,22:25,6,30,0,4,1,1,1,11-11-2018
73.82491927,18.63773531,3,2,2,2,21:32,6,30,6,4,2,2,1,14-11-2018
73.78075869,18.58212074,3,3,1,2,09:30,6,30,9,1,1,2,1,14-11-2018
73.81875511,18.60868291,3,1,1,4,14:00,2,30,3,1,1,1,1,16-11-2018
73.89108332,18.48954754,3,2,1,6,16:50,6,30,9,4,8,4,1,18-11-2018
73.73697596,18.64436877,3,2,1,7,13:45,6,30,9,1,1,1,1,19-11-2018
73.76113789,18.63757875,2,1,1,4,22:00,6,30,0,4,2,2,1,16-11-2018
73.91571914,18.63357524,3,1,1,4,10:30,6,30,3,1,1,1,1,16-11-2018
73.86269998,18.49639838,2,2,2,5,07:00,6,60,0,1,1,4,1,17-11-2018
73.87196046,18.53620881,3,2,1,5,12:10,6,30,9,1,1,1,1,17-11-2018
73.9588742,18.51554064,3,2,1,3,17:10,3,30,6,4,1,2,1,15-11-2018
73.82884153,18.57901993,3,2,2,4,14:40,3,30,0,1,1,1,2,16-11-2018
73.84096336,18.61580971,3,1,1,2,19:40,6,30,3,4,7,2,1,21-11-2018
73.75737172,18.58465198,3,2,1,5,14:05,6,40,0,1,1,1,1,17-11-2018
73.92423193,18.59367079,3,1,1,6,20:10,6,30,0,4,1,1,1,18-11-2018
73.9144242,18.593494,3,3,4,6,09:20,6,30,3,1,8,4,1,18-11-2018
73.92255146,18.51598522,3,1,1,1,09:50,6,30,1,1,1,1,1,20-11-2018
73.96322465,18.61884834,3,2,2,1,20:20,6,30,9,4,1,4,1,20-11-2018
73.94413679,18.53288942,3,2,1,3,20:45,9,30,9,1,9,1,1,22-11-2018
73.87249531,18.54028616,3,2,1,4,17:50,6,30,0,4,1,1,1,23-11-2018
73.93422465,18.50852632,3,1,1,6,22:10,6,30,9,4,1,2,1,11-11-2018
73.78305465,18.5225612,3,2,1,5,10:25,6,30,6,1,1,1,1,17-11-2018
73.74130971,18.5454322,3,2,3,6,09:40,3,40,3,1,1,1,1,18-11-2018
73.89672743,18.58317662,3,1,1,2,16:15,6,30,0,4,7,2,1,21-11-2018
73.904654,18.54181971,3,1,1,3,08:30,6,30,3,1,1,2,1,22-11-2018
73.87144204,18.60134901,3,1,2,3,15:55,6,30,0,4,1,2,1,22-11-2018
73.93786247,18.56618258,3,1,1,4,15:30,9,30,9,1,1,1,1,23-11-2018
73.82009117,18.58236715,3,1,1,5,08:25,6,30,3,1,1,2,1,24-11-2018
73.88068743,18.58335959,3,1,1,5,09:10,6,30,3,1,1,2,1,24-11-2018
73.73592344,18.50850055,3,2,1,6,20:55,6,30,9,4,1,1,1,25-11-2018
73.94583209,18.49254629,3,1,1,4,12:09,6,30,3,1,1,1,1,09-11-2018
73.90957506,18.52478454,3,2,3,1,12:00,6,30,3,1,1,1,1,20-11-2018
73.92932281,18.60493693,3,1,1,3,20:01,6,30,3,4,1,2,1,22-11-2018
73.86836572,18.53695284,3,2,1,6,17:52,6,30,0,4,1,1,1,25-11-2018
73.8009826,18.56928419,3,2,1,7,10:20,6,30,9,1,8,2,1,26-11-2018
73.96248428,18.6015019,2,2,1,4,16:25,6,30,3,4,1,2,1,23-11-2018
73.75042758,18.58381871,3,3,6,5,09:25,6,30,0,1,5,2,1,24-11-2018
73.80477556,18.61582962,3,2,3,1,04:25,6,30,6,4,1,2,1,27-11-2018
73.76404017,18.56573649,3,2,1,2,08:35,6,30,3,1,1,1,1,28-11-2018
73.91532239,18.58301998,3,2,1,2,20:30,9,30,3,4,1,4,1,28-11-2018
73.92098383,18.57513542,2,2,1,3,13:50,6,30,0,1,1,2,1,29-11-2018
73.79318851,18.58990494,3,3,2,3,16:55,6,30,0,4,1,1,1,29-11-2018
73.96116974,18.5379764,3,1,1,4,16:14,6,30,6,4,1,2,1,30-11-2018
73.79557413,18.606956,2,1,1,4,09:30,6,30,6,1,1,2,1,30-11-2018
73.90247564,18.61339422,2,1,1,5,15:30,3,30,3,1,1,1,1,17-11-2018
73.77857925,18.57839934,3,1,1,2,00:50,6,30,3,4,1,1,1,28-11-2018
73.84387553,18.53759048,3,1,1,3,17:13,6,30,0,1,1,2,2,29-11-2018
73.74601124,18.63564644,3,1,1,1,00:45,6,30,9,4,2,2,1,04-12-2018
73.80192856,18.62014001,3,2,1,1,14:47,3,30,3,1,1,2,1,04-12-2018
73.83156369,18.55445008,3,2,1,6,16:00,6,30,3,4,1,2,2,02-12-2018
73.91087502,18.52117523,3,1,1,6,11:30,3,40,6,1,4,2,1,02-12-2018
73.83740963,18.55377309,3,2,1,6,12:25,6,40,0,1,1,2,1,02-12-2018
73.87773402,18.64453306,2,1,1,2,14:40,6,30,9,1,1,2,1,05-12-2018
73.93823017,18.52939868,3,1,1,2,07:15,6,30,6,4,9,2,1,05-12-2018
73.7405578,18.55283265,3,1,1,2,16:55,6,30,3,4,2,2,1,05-12-2018
73.86583451,18.59958974,2,2,2,2,15:50,6,30,9,1,1,1,1,05-12-2018
73.94675004,18.61698959,2,2,1,6,12:20,6,30,3,1,1,1,1,09-12-2018
73.83614766,18.6193478,3,2,1,5,18:30,6,30,0,4,1,2,1,08-12-2018
73.91394435,18.51918157,3,2,2,7,11:40,6,30,7,1,1,1,1,10-12-2018
73.95739587,18.63147346,3,1,1,4,19:50,1,70,1,5,2,2,2,07-12-2018
73.89208506,18.53488592,3,2,3,6,20:30,6,30,0,4,1,2,2,09-12-2018
73.75407334,18.53733439,3,2,1,7,12:20,6,30,0,1,1,1,1,10-12-2018
73.87173399,18.52233028,3,4,1,7,15:47,3,50,0,1,1,2,2,03-12-2018
73.80824359,18.50325455,3,1,2,2,17:00,6,30,9,4,2,2,1,05-12-2018
73.74897497,18.49570697,3,3,1,7,13:55,6,30,0,1,1,2,1,10-12-2018
73.88320944,18.53102545,3,2,1,1,21:05,6,30,7,4,1,2,1,11-12-2018
73.89464502,18.55426487,3,1,1,2,15:40,6,30,3,1,1,1,1,12-12-2018
73.82916345,18.64519285,3,2,2,2,18:35,6,30,0,4,1,1,1,12-12-2018
73.95648469,18.53203089,3,2,1,3,08:45,9,40,0,1,1,1,2,13-12-2018
73.83155848,18.62086502,3,2,2,3,08:20,6,30,3,1,7,2,1,13-12-2018
73.81053994,18.51722873,3,2,1,4,08:50,6,30,6,1,1,2,1,14-12-2018
73.80419215,18.59412415,3,1,1,4,07:50,6,30,9,1,1,1,1,14-12-2018
73.90201442,18.61912569,3,1,1,5,15:55,6,30,3,4,1,1,1,15-12-2018
73.83923558,18.58837326,3,1,1,4,07:50,3,30,6,4,2,2,1,30-11-2018
73.9361663,18.54165975,3,2,1,1,17:05,6,30,6,4,1,1,1,11-12-2018
73.79605118,18.59081492,3,1,2,3,18:15,6,30,0,4,1,2,1,13-12-2018
73.91299118,18.62222944,3,2,1,4,17:05,6,30,3,1,1,2,1,14-12-2018
73.83150527,18.50926172,3,2,1,5,16:55,6,30,6,4,1,2,1,15-12-2018
73.93542465,18.58110591,3,2,1,5,17:35,6,30,3,4,1,1,1,15-12-2018
73.79343767,18.63354787,3,1,1,5,10:00,6,30,0,1,1,1,1,15-12-2018
73.91099358,18.53840766,3,2,1,6,10:30,3,30,6,1,4,1,1,16-12-2018
73.78515734,18.51618143,3,2,1,6,10:15,6,30,0,1,1,1,1,16-12-2018
73.95721655,18.52840137,3,1,2,6,23:40,6,40,0,1,1,4,2,16-12-2018
73.84679653,18.63843189,3,2,1,2,17:30,1,20,1,4,8,1,1,12-12-2018
73.86231059,18.64217606,2,3,6,4,19:25,6,30,0,4,1,1,1,14-12-2018
73.77945926,18.55674098,2,2,1,5,09:20,6,30,9,1,1,2,2,15-12-2018
73.85270676,18.60472526,3,1,3,5,21:20,6,30,0,4,1,2,1,15-12-2018
73.92851448,18.60265678,3,2,2,6,18:40,6,30,6,4,1,2,1,16-12-2018
73.92372614,18.53804715,3,3,2,7,15:25,6,30,7,1,1,2,1,17-12-2018
73.75066257,18.50247429,3,2,2,7,09:45,6,30,9,1,1,1,2,17-12-2018
73.93527499,18.53805709,3,1,1,1,12:40,3,30,3,1,2,4,1,18-12-2018
73.7710762,18.597391,3,2,3,1,17:38,6,30,6,4,2,2,1,18-12-2018
73.9240904,18.57206783,3,2,1,6,13:05,1,30,1,1,1,1,1,16-12-2018
73.85822567,18.60726439,3,2,2,1,00:40,2,30,3,4,1,4,1,18-12-2018
73.86439495,18.61682079,3,3,2,1,14:30,6,30,3,1,2,2,1,18-12-2018
73.86293203,18.50499603,3,2,2,2,08:35,6,30,3,1,1,1,1,19-12-2018
73.88896189,18.61986551,3,2,1,2,10:10,6,30,3,1,1,2,1,19-12-2018
73.88086765,18.53241863,3,1,1,2,10:50,6,30,0,1,1,1,1,19-12-2018
73.85021203,18.50677225,2,1,1,1,17:45,6,30,3,4,1,2,1,18-12-2018
73.89682434,18.57092931,3,2,1,2,09:50,6,30,0,1,1,1,2,19-12-2018
73.75532094,18.64118117,3,1,1,5,12:30,6,30,0,1,1,1,1,08-12-2018
73.77711952,18.51626163,3,2,1,3,08:55,6,30,0,1,1,2,1,20-12-2018
73.80645757,18.62482835,3,2,2,3,07:00,6,30,6,4,1,2,1,20-12-2018
73.83269421,18.54566864,3,1,1,3,15:48,6,30,9,1,1,2,1,20-12-2018
73.76597269,18.53216588,3,2,2,4,12:13,6,30,6,1,2,2,2,21-12-2018
73.76841297,18.55241812,3,2,2,7,21:50,6,30,6,4,1,1,1,17-12-2018
73.81284307,18.60782485,3,1,1,3,04:30,6,30,6,4,1,1,1,27-12-2018
73.88611569,18.54113844,3,1,1,4,13:30,6,30,3,1,2,2,1,21-12-2018
73.78455747,18.61695901,3,2,1,4,13:45,6,40,3,1,2,2,1,21-12-2018
73.94134723,18.55743343,3,1,1,6,11:45,6,30,0,1,1,2,1,23-12-2018
73.80795716,18.5708645,3,4,5,7,13:30,6,30,0,1,1,1,1,24-12-2018
73.76474726,18.55484238,3,2,2,7,20:35,6,30,3,4,1,2,1,24-12-2018
73.74899255,18.58428888,3,2,3,7,03:40,6,30,6,4,2,2,1,24-12-2018
73.77315125,18.55624303,3,3,1,2,18:25,6,30,0,4,1,2,2,26-12-2018
73.73864636,18.57217755,3,1,1,3,10:40,6,30,3,1,1,1,1,27-12-2018
73.91823646,18.51236087,3,1,1,3,03:50,6,30,0,4,1,1,1,27-12-2018
73.84716136,18.57532574,3,2,2,5,10:15,3,30,3,1,1,4,1,29-12-2018
73.93432232,18.64286911,3,2,2,6,00:37,9,30,7,4,3,2,1,30-12-2018
73.82718031,18.50333774,3,1,1,7,18:05,6,30,3,4,2,2,1,31-12-2018
73.89880262,18.56643752,3,2,1,3,10:30,6,30,3,1,1,1,1,20-12-2018
73.74988343,18.63070843,3,1,1,7,18:05,6,30,6,4,5,2,1,01-01-2018
73.8990951,18.60460856,3,2,2,1,14:00,6,30,0,1,1,1,1,02-01-2018
73.94358242,18.57405863,3,2,3,7,03:30,6,30,0,4,1,2,1,01-01-2018
73.8977462,18.61667375,2,2,2,2,14:00,3,30,6,1,1,2,1,03-01-2018
73.77629539,18.61193099,3,2,1,2,18:20,6,30,3,4,1,1,1,03-01-2018
73.89815528,18.58397934,3,2,1,3,12:45,9,30,9,1,9,1,1,04-01-2018
73.7990337,18.50334133,3,2,1,3,12:50,6,30,9,1,1,1,1,04-01-2018
73.9604062,18.53909197,3,2,1,3,16:45,6,30,3,4,4,1,1,04-01-2018
73.83578429,18.63520302,3,1,1,5,09:15,6,30,0,1,1,1,1,06-01-2018
73.78593967,18.54362316,3,1,1,7,15:30,6,30,9,1,4,2,1,08-01-2018
73.87976265,18.5115377,3,2,1,3,14:10,6,30,6,1,1,1,1,04-01-2018
73.84348835,18.53518108,3,2,1,4,19:30,6,30,6,4,1,2,1,05-01-2018
73.94368786,18.5659676,3,2,1,4,19:00,3,30,6,4,1,2,1,05-01-2018
73.93122191,18.50357357,3,3,3,4,10:10,6,30,0,1,1,2,1,05-01-2018
73.88529128,18.56383433,3,2,1,5,17:10,3,50,1,4,4,1,1,06-01-2018
73.76009671,18.55395946,3,4,2,6,07:10,6,30,0,4,1,2,2,07-01-2018
73.84554384,18.49607472,3,1,2,6,20:25,6,40,0,4,4,2,1,07-01-2018
73.91211371,18.62397282,3,2,3,6,15:30,6,30,9,1,5,2,2,07-01-2018
73.75349851,18.55087726,3,1,1,6,19:20,3,30,0,4,5,2,1,07-01-2018
